"","x"
"manag",2488
"ict",2236
"inform",2216
"unit",1818
"offic",1579
"will",1547
"servic",1418
"nation",1333
"resourc",1331
"technolog",1330
"report",1302
"committe",1264
"implement",1264
"system",1218
"propos",1155
"support",1132
"general",1121
"secretary-gener",1100
"communic",1062
"project",1042
"enterpris",1036
"provid",1030
"data",1005
"requir",955
"plan",916
"busi",862
"oper",800
"includ",763
"programm",763
"cost",751
"budget",728
"advisori",693
"assembl",677
"request",655
"continu",654
"develop",644
"staff",636
"depart",592
"centr",591
"organ",572
"account",571
"also",571
"secretariat",550
"activ",540
"establish",523
"function",499
"initi",498
"administr",496
"need",493
"new",488
"field",474
"relat",472
"ensur",468
"process",458
"section",458
"peacekeep",456
"note",443
"paragraph",441
"estim",438
"use",436
"improv",435
"biennium",429
"strategi",420
"recoveri",416
"post",411
"disast",404
"fund",394
"effect",383
"work",382
"approv",381
"recommend",381
"resolut",381
"content",378
"applic",375
"current",366
"review",361
"present",355
"intern",354
"respons",346
"knowledg",342
"amount",341
"integr",331
"well",330
"global",327
"secur",327
"organiz",324
"strateg",324
"total",323
"standard",322
"structur",319
"infrastructur",318
"chang",317
"time",316
"chief",312
"central",302
"exist",298
"increas",296
"across",292
"base",292
"budgetari",289
"(b)",285
"financi",281
"headquart",277
"one",277
"per",272
"local",271
"addit",267
"human",267
"level",267
"management,",264
"benefit",259
"overal",259
"(see",256
"approach",254
"perform",253
"result",248
"state",248
"within",245
"para.",243
"coordin",242
"mission",242
"facil",240
"custom",239
"area",235
"take",235
"effici",233
"risk",232
"member",228
"govern",227
"softwar",227
"indic",226
"(c)",225
"detail",225
"document",221
"key",221
"part",220
"assist",214
"board",214
"reduc",214
"consid",213
"progress",212
"critic",211
"framework",209
"set",209
"tabl",207
"access",206
"two",205
"enabl",202
"team",201
"expect",200
"consolid",194
"regular",193
"period",192
"provis",190
"deliveri",189
"expenditur",187
"million",187
"can",186
"avail",185
"view",182
"major",181
"decemb",180
"decid",179
"effort",179
"invest",179
"temporari",179
"away",178
"duti",178
"identifi",178
"contain",176
"follow",175
"number",175
"address",174
"share",174
"emerg",173
"design",172
"comprehens",171
"appropri",170
"capabl",170
"meet",170
"object",170
"public",170
"collabor",169
"equip",169
"signific",168
"relationship",167
"order",166
"make",164
"polici",164
"context",163
"enhanc",163
"juli",163
"(d)",162
"revis",162
"train",160
"posit",159
"recal",159
"author",158
"capac",158
"measur",158
"regard",158
"adopt",157
"subject",157
"june",156
"special",156
"achiev",155
"execut",155
"import",155
"technic",155
"assess",154
"direct",153
"first",152
"submit",152
"full",151
"made",151
"tool",151
"financ",148
"solut",147
"action",146
"group",146
"region",146
"cent",145
"build",141
"complet",139
"consider",137
"decis",137
"services,",137
"cover",136
"three",136
"matter",134
"common",133
"futur",133
"upon",133
"(e)",131
"commiss",131
"fulli",130
"high",130
"report,",130
"travel",130
"associ",129
"basi",129
"clear",129
"strengthen",129
"analysi",127
"taken",127
"specif",126
"repres",125
"mainten",124
"secretariat,",124
"consist",123
"contractu",123
"issu",123
"necessari",123
"updat",122
"limit",121
"monitor",121
"arrang",120
"locat",120
"role",120
"impact",119
"allow",117
"consult",117
"expert",117
"annual",115
"compris",115
"main",115
"oversight",114
"record",114
"remain",114
"session",114
"util",114
"carri",113
"practic",113
"system,",112
"conduct",111
"headquarters,",109
"maintain",109
"may",109
"procur",109
"2009",108
"capit",108
"lack",106
"senior",106
"throughout",106
"accord",105
"addition,",103
"substant",103
"technology,",102
"facilit",101
"however,",101
"prioriti",101
"control",100
"econom",100
"host",100
"previous",100
"align",99
"four",99
"mandat",98
"relev",98
"secretary-",98
"possibl",97
"resources,",97
"respect",97
"among",96
"differ",96
"systems,",96
"assembly,",94
"focus",94
"organization,",94
"success",94
"given",93
"network",92
"concern",91
"endors",91
"replac",90
"various",90
"commit",89
"sourc",89
"primari",88
"lead",87
"best",86
"system.",86
"emphas",85
"offici",85
"year",85
"close",84
"ongo",84
"potenti",83
"recogn",83
"without",83
"involv",82
"must",82
"scope",82
"(f)",81
"project,",81
"second",81
"conclus",80
"secretary-general,",80
"procedur",79
"reflect",79
"particular",78
"unifi",77
"polit",76
"planning,",74
"option",73
"place",73
"sinc",73
"determin",72
"prepar",72
"social",72
"five",71
"experi",69
"2010",68
"contribut",68
"evalu",68
"operations.",67
"serv",67
"leadership",66
"qualiti",66
"sector",66
"complex",65
"greater",65
"introduct",65
"larg",65
"operations,",65
"joint",64
"connect",63
"learn",63
"mitig",63
"refer",63
"activities,",62
"aspect",62
"compon",62
"element",62
"entiti",62
"januari",62
"toward",62
"alreadi",61
"mechan",61
"balanc",60
"undertaken",60
"question",59
"iii",58
"transit",57
"becom",55
"committee,",55
"essenti",55
"outlin",55
"separ",53
"affect",52
"call",51
"dedic",51
"way",51
"minim",50
"line",49
"nations,",49
"perman",49
"see",49
"abl",48
"lesson",48
"plan,",48
"proper",46
"(g)",45
"10.",45
"demand",45
"ii.",45
"staff,",45
"aim",44
"cooper",44
"iii.",44
"principl",44
"time,",44
"11.",43
"12.",43
"adequ",43
"independ",43
"avoid",42
"natur",42
"standards,",42
"2008,",41
"resum",41
"support,",41
"13.",40
"agenda",40
"aris",40
"rather",39
"14.",37
"extend",37
"item",37
"outcom",37
"situat",37
"15.",35
"16.",35
"assessment,",35
"17.",33
"18.",31
"19.",31
"20.",29
"six",29
"21.",28
"distr.:",28
"22.",27
"prior",27
"23.",26
"24.",24
"25.",23
"26.",23
"27.",22
"29.",22
"30.",22
"36.",22
"28.",21
"31.",21
"32.",21
"35.",21
"english",21
"original:",21
"33.",20
"34.",20
"38.",20
"37.",19
